Source,Target,t,Type
63,481,141860,Undirected
120,819,141880,Undirected
120,819,141900,Undirected
120,819,141920,Undirected
120,819,141940,Undirected
120,819,141960,Undirected
35,845,141960,Undirected
153,271,141960,Undirected
120,819,141980,Undirected
153,271,142000,Undirected
265,826,142020,Undirected
63,481,142080,Undirected
153,154,142100,Undirected
63,481,142180,Undirected
120,819,142340,Undirected
240,938,142540,Undirected
240,938,142560,Undirected
102,762,143300,Undirected
172,196,143560,Undirected
17,875,143900,Undirected
120,172,143980,Undirected
120,172,144000,Undirected
17,335,144020,Undirected
17,335,144060,Undirected
17,335,144100,Undirected
17,335,144120,Undirected
172,196,144220,Undirected
17,335,144220,Undirected
172,196,144240,Undirected
17,335,144240,Undirected
48,875,144280,Undirected
17,335,144300,Undirected
17,335,144320,Undirected
194,311,144540,Undirected
17,762,144580,Undirected
17,762,144600,Undirected
194,311,144660,Undirected
194,311,144680,Undirected
194,311,144700,Undirected
194,311,144720,Undirected
194,311,144740,Undirected
194,311,144780,Undirected
194,311,144800,Undirected
194,311,144820,Undirected
120,494,144980,Undirected
205,311,145000,Undirected
240,938,145040,Undirected
311,819,145040,Undirected
153,271,145060,Undirected
240,938,145080,Undirected
205,819,145100,Undirected
311,496,145120,Undirected
95,496,145120,Undirected
205,819,145120,Undirected
95,223,145140,Undirected
95,223,145160,Undirected
223,819,145340,Undirected
223,819,145360,Undirected
223,819,145380,Undirected
223,496,145400,Undirected
223,819,145420,Undirected
153,271,145420,Undirected
223,819,145460,Undirected
223,496,145460,Undirected
223,819,145480,Undirected
223,819,145500,Undirected
223,819,145520,Undirected
223,496,145520,Undirected
223,819,145540,Undirected
223,496,145540,Undirected
150,481,145540,Undirected
223,819,145560,Undirected
223,819,145580,Undirected
223,819,145600,Undirected
223,496,145600,Undirected
311,496,145680,Undirected
223,496,145680,Undirected
223,496,145700,Undirected
223,496,145720,Undirected
153,271,145720,Undirected
223,496,145740,Undirected
223,496,145760,Undirected
223,496,145780,Undirected
153,492,145800,Undirected
223,819,145820,Undirected
223,496,145820,Undirected
153,492,145820,Undirected
223,496,145840,Undirected
223,496,145860,Undirected
223,819,145860,Undirected
223,496,145880,Undirected
223,819,145900,Undirected
223,496,145900,Undirected
223,819,145920,Undirected
223,496,145920,Undirected
223,819,145940,Undirected
223,819,145960,Undirected
223,819,145980,Undirected
223,496,145980,Undirected
223,819,146000,Undirected
223,496,146060,Undirected
223,819,146080,Undirected
223,496,146080,Undirected
120,494,146080,Undirected
223,496,146100,Undirected
223,819,146100,Undirected
496,819,146120,Undirected
120,494,146140,Undirected
496,819,146160,Undirected
496,819,146180,Undirected
223,496,146300,Undirected
223,496,146320,Undirected
153,271,146640,Undirected
153,271,146740,Undirected
153,271,146780,Undirected
153,271,146800,Undirected
153,271,146860,Undirected
153,271,146880,Undirected
153,271,146980,Undirected
153,271,147060,Undirected
153,271,147080,Undirected
153,271,147200,Undirected
153,271,147220,Undirected
153,271,147240,Undirected
268,845,147280,Undirected
153,271,147380,Undirected
153,271,147400,Undirected
153,271,147420,Undirected
153,271,147440,Undirected
153,271,147480,Undirected
153,271,147580,Undirected
118,209,147740,Undirected
265,826,147900,Undirected
153,271,147900,Undirected
265,826,147920,Undirected
265,826,148000,Undirected
265,826,148020,Undirected
265,826,148220,Undirected
265,826,148240,Undirected
265,826,148260,Undirected
265,826,148280,Undirected
265,826,148300,Undirected
265,826,148320,Undirected
265,826,148340,Undirected
153,271,148380,Undirected
153,271,148400,Undirected
153,271,148420,Undirected
131,826,148420,Undirected
265,826,148440,Undirected
131,826,148480,Undirected
153,271,148500,Undirected
153,271,148520,Undirected
153,271,148560,Undirected
153,271,148640,Undirected
153,271,148660,Undirected
153,271,148680,Undirected
153,271,148700,Undirected
153,271,148760,Undirected
153,271,148780,Undirected
153,271,148800,Undirected
35,826,148840,Undirected
153,987,148880,Undirected
271,492,148900,Undirected
153,271,148900,Undirected
153,271,148920,Undirected
153,271,148940,Undirected
15,223,149020,Undirected
153,271,149100,Undirected
15,223,149120,Undirected
15,223,149140,Undirected
15,223,149160,Undirected
153,271,149160,Undirected
15,223,149180,Undirected
15,223,149200,Undirected
153,271,149260,Undirected
153,271,149280,Undirected
153,271,149300,Undirected
194,311,149320,Undirected
153,271,149320,Undirected
153,271,149340,Undirected
153,271,149360,Undirected
153,271,149380,Undirected
194,242,149400,Undirected
153,271,149400,Undirected
153,271,149420,Undirected
153,271,149440,Undirected
153,271,149460,Undirected
153,271,149480,Undirected
153,271,149500,Undirected
153,271,149520,Undirected
153,271,149540,Undirected
153,271,149560,Undirected
153,271,149580,Undirected
153,271,149640,Undirected
153,271,149660,Undirected
153,271,149680,Undirected
153,271,149700,Undirected
153,271,149720,Undirected
194,311,149740,Undirected
153,271,149740,Undirected
153,271,149760,Undirected
194,311,149780,Undirected
153,271,149780,Undirected
153,271,149800,Undirected
15,95,149820,Undirected
153,271,149820,Undirected
15,95,149840,Undirected
153,271,149840,Undirected
15,95,149860,Undirected
153,271,149860,Undirected
15,95,149880,Undirected
15,95,149900,Undirected
15,95,149920,Undirected
153,271,149920,Undirected
15,95,149940,Undirected
15,95,149960,Undirected
15,95,149980,Undirected
15,95,150000,Undirected
15,95,150020,Undirected
153,271,150020,Undirected
63,481,150020,Undirected
153,271,150080,Undirected
153,271,150100,Undirected
153,271,150120,Undirected
63,481,150120,Undirected
63,481,150160,Undirected
153,271,150220,Undirected
153,271,150240,Undirected
153,271,150260,Undirected
153,271,150380,Undirected
153,271,150400,Undirected
153,271,150440,Undirected
153,271,150500,Undirected
153,271,150520,Undirected
153,271,150540,Undirected
153,271,150560,Undirected
153,271,150580,Undirected
153,271,150600,Undirected
153,271,150640,Undirected
153,271,150660,Undirected
153,271,150680,Undirected
153,271,150720,Undirected
751,778,150920,Undirected
17,335,150920,Undirected
154,271,151000,Undirected
153,271,151000,Undirected
154,271,151020,Undirected
153,154,151020,Undirected
153,154,151100,Undirected
153,499,151140,Undirected
120,196,151140,Undirected
154,271,151160,Undirected
153,499,151160,Undirected
153,154,151200,Undirected
154,271,151220,Undirected
153,154,151220,Undirected
154,271,151240,Undirected
154,271,151280,Undirected
153,154,151440,Undirected
153,154,151460,Undirected
153,154,151500,Undirected
154,492,151500,Undirected
123,253,151500,Undirected
123,253,151560,Undirected
123,253,151600,Undirected
242,311,151640,Undirected
154,492,151640,Undirected
123,253,151640,Undirected
154,492,151660,Undirected
154,492,151700,Undirected
154,492,151720,Undirected
154,492,151740,Undirected
242,311,151780,Undirected
153,154,151780,Undirected
154,492,151780,Undirected
153,154,151800,Undirected
153,154,151820,Undirected
153,154,151840,Undirected
153,154,151860,Undirected
275,285,151920,Undirected
79,285,151980,Undirected
120,494,152000,Undirected
120,494,152020,Undirected
448,533,152460,Undirected
448,533,152480,Undirected
119,533,152680,Undirected
119,448,152680,Undirected
119,533,152700,Undirected
119,448,152700,Undirected
119,448,152720,Undirected
448,533,152760,Undirected
448,533,152780,Undirected
271,533,152800,Undirected
271,533,152820,Undirected
39,113,203900,Undirected
39,113,203920,Undirected
29,120,204360,Undirected
79,123,204500,Undirected
79,123,204520,Undirected
211,778,204520,Undirected
79,123,204540,Undirected
273,778,204540,Undirected
79,123,204560,Undirected
79,123,204580,Undirected
268,778,204580,Undirected
79,123,204600,Undirected
79,123,204620,Undirected
79,123,204640,Undirected
79,123,204660,Undirected
79,123,204680,Undirected
79,123,204700,Undirected
79,123,204760,Undirected
778,804,204760,Undirected
79,123,204780,Undirected
778,804,204780,Undirected
79,123,204800,Undirected
79,123,204820,Undirected
79,123,204880,Undirected
39,113,204920,Undirected
39,113,204940,Undirected
79,123,204960,Undirected
113,120,204960,Undirected
29,39,204980,Undirected
39,113,204980,Undirected
79,123,205000,Undirected
39,113,205000,Undirected
79,123,205020,Undirected
273,778,205040,Undirected
273,778,205060,Undirected
29,120,205060,Undirected
79,123,205080,Undirected
273,778,205080,Undirected
29,120,205080,Undirected
29,120,205100,Undirected
39,113,205160,Undirected
39,113,205180,Undirected
39,113,205200,Undirected
120,494,205220,Undirected
39,113,205220,Undirected
39,113,205240,Undirected
39,113,205260,Undirected
39,113,205280,Undirected
265,826,205300,Undirected
39,113,205300,Undirected
211,265,205360,Undirected
184,265,205400,Undirected
120,196,205880,Undirected
29,662,205880,Undirected
120,172,206100,Undirected
29,662,206160,Undirected
120,172,206180,Undirected
29,662,206200,Undirected
29,662,206220,Undirected
29,662,206240,Undirected
481,709,206260,Undirected
268,778,206400,Undirected
778,826,206440,Undirected
50,826,206520,Undirected
131,184,206820,Undirected
50,771,206840,Undirected
50,335,206840,Undirected
150,209,206840,Undirected
50,335,206860,Undirected
184,268,206860,Undirected
150,709,206880,Undirected
50,771,206900,Undirected
118,268,206900,Undirected
184,804,206900,Undirected
184,804,206920,Undirected
268,804,206920,Undirected
184,268,206920,Undirected
209,804,206920,Undirected
184,845,206940,Undirected
184,268,206940,Undirected
184,268,206960,Undirected
184,268,206980,Undirected
184,268,207000,Undirected
184,268,207020,Undirected
118,184,207020,Undirected
275,845,207040,Undirected
184,268,207040,Undirected
275,845,207060,Undirected
275,804,207060,Undirected
184,268,207060,Undirected
184,268,207080,Undirected
211,778,207080,Undirected
184,268,207100,Undirected
184,268,207120,Undirected
184,268,207140,Undirected
118,184,207140,Undirected
184,268,207160,Undirected
275,845,207200,Undirected
275,804,207200,Undirected
492,601,207220,Undirected
492,601,207240,Undirected
492,601,207260,Undirected
50,771,207300,Undirected
492,601,207320,Undirected
492,601,207340,Undirected
118,184,207380,Undirected
275,804,207380,Undirected
153,709,207400,Undirected
275,804,207400,Undirected
804,845,207400,Undirected
275,804,207420,Undirected
153,448,207420,Undirected
804,845,207460,Undirected
211,778,207480,Undirected
275,804,207500,Undirected
211,778,207500,Undirected
205,223,207520,Undirected
275,804,207520,Undirected
211,778,207520,Undirected
205,223,207540,Undirected
211,778,207540,Undirected
268,804,207560,Undirected
211,778,207560,Undirected
211,778,207580,Undirected
205,223,207600,Undirected
211,778,207600,Undirected
211,778,207620,Undirected
211,778,207640,Undirected
211,778,207660,Undirected
211,778,207680,Undirected
118,184,207680,Undirected
211,778,207700,Undirected
118,184,207700,Undirected
211,778,207720,Undirected
211,778,207740,Undirected
211,778,207760,Undirected
205,223,207780,Undirected
211,778,207780,Undirected
118,184,207780,Undirected
118,184,207800,Undirected
211,778,207800,Undirected
118,184,207820,Undirected
211,778,207820,Undirected
211,778,207840,Undirected
211,778,207860,Undirected
211,778,207900,Undirected
211,778,207920,Undirected
205,223,207940,Undirected
211,778,207940,Undirected
211,778,207960,Undirected
211,778,207980,Undirected
205,223,207980,Undirected
211,778,208000,Undirected
211,778,208020,Undirected
211,778,208040,Undirected
15,123,208140,Undirected
15,123,208160,Undirected
275,804,208260,Undirected
211,222,208300,Undirected
751,778,208400,Undirected
273,778,208420,Undirected
751,778,208420,Undirected
275,845,208420,Undirected
273,778,208440,Undirected
273,778,208460,Undirected
17,101,208540,Undirected
17,101,208560,Undirected
153,492,208620,Undirected
15,123,208740,Undirected
275,804,208760,Undirected
275,804,208800,Undirected
265,826,209020,Undirected
265,826,209040,Undirected
265,826,209060,Undirected
804,845,209420,Undirected
116,211,209480,Undirected
118,184,209480,Undirected
116,211,209520,Undirected
118,184,209520,Undirected
273,778,209540,Undirected
273,778,209560,Undirected
804,845,209580,Undirected
804,845,209600,Undirected
116,265,209600,Undirected
804,845,209620,Undirected
120,172,209620,Undirected
15,123,209640,Undirected
15,123,209660,Undirected
118,184,209660,Undirected
15,123,209720,Undirected
273,778,209740,Undirected
184,268,209820,Undirected
275,845,209820,Undirected
275,804,209840,Undirected
184,804,209840,Undirected
118,804,209840,Undirected
184,268,209840,Undirected
184,268,209920,Undirected
15,123,210060,Undirected
15,123,210080,Undirected
15,123,210100,Undirected
15,123,210120,Undirected
15,123,210140,Undirected
273,778,210140,Undirected
15,123,210160,Undirected
35,804,210160,Undirected
184,268,210180,Undirected
273,778,210380,Undirected
751,778,210380,Undirected
17,50,210560,Undirected
105,113,210640,Undirected
105,113,210660,Undirected
105,113,210760,Undirected
39,79,210780,Undirected
105,113,210780,Undirected
211,778,210800,Undirected
105,113,210800,Undirected
105,113,210820,Undirected
105,113,210860,Undirected
95,116,210900,Undirected
105,113,210900,Undirected
105,113,210920,Undirected
21,101,210920,Undirected
116,778,210960,Undirected
105,113,211000,Undirected
105,113,211020,Undirected
105,113,211040,Undirected
105,113,211060,Undirected
105,113,211080,Undirected
105,113,211100,Undirected
105,113,211120,Undirected
105,113,211140,Undirected
105,113,211160,Undirected
153,492,211180,Undirected
105,113,211180,Undirected
105,113,211200,Undirected
105,113,211220,Undirected
105,113,211240,Undirected
105,113,211260,Undirected
105,113,211280,Undirected
105,113,211300,Undirected
105,113,211320,Undirected
105,113,211340,Undirected
105,113,211360,Undirected
105,113,211540,Undirected
105,113,211560,Undirected
105,113,211580,Undirected
105,113,211600,Undirected
105,113,211620,Undirected
105,113,211640,Undirected
105,113,211660,Undirected
105,113,211680,Undirected
105,113,211700,Undirected
105,113,211720,Undirected
105,113,211760,Undirected
105,113,211780,Undirected
105,113,211800,Undirected
105,113,211820,Undirected
105,113,211840,Undirected
105,113,211940,Undirected
105,113,211960,Undirected
105,113,212040,Undirected
15,123,212080,Undirected
804,845,212180,Undirected
778,845,212180,Undirected
804,845,212200,Undirected
804,845,212240,Undirected
105,113,212260,Undirected
804,845,212260,Undirected
105,113,212280,Undirected
105,113,212300,Undirected
105,113,212320,Undirected
105,113,212360,Undirected
105,113,212380,Undirected
105,113,212400,Undirected
120,172,212420,Undirected
120,172,212440,Undirected
120,172,212460,Undirected
120,172,212480,Undirected
778,845,212500,Undirected
120,172,212500,Undirected
105,113,212520,Undirected
120,172,212520,Undirected
105,113,212560,Undirected
105,113,212580,Undirected
105,113,212600,Undirected
105,113,212620,Undirected
105,113,212640,Undirected
105,113,212740,Undirected
105,113,212760,Undirected
105,113,212780,Undirected
105,113,212800,Undirected
105,113,212820,Undirected
105,113,212840,Undirected
778,845,212860,Undirected
105,113,212860,Undirected
105,113,212880,Undirected
184,751,212900,Undirected
105,113,212900,Undirected
105,113,212920,Undirected
105,113,212940,Undirected
105,113,212960,Undirected
105,113,212980,Undirected
105,113,213000,Undirected
105,113,213020,Undirected
184,751,213020,Undirected
105,113,213040,Undirected
21,101,213080,Undirected
105,113,213100,Undirected
105,113,213180,Undirected
21,101,213200,Undirected
105,113,213300,Undirected
105,113,213320,Undirected
184,751,213340,Undirected
63,709,213460,Undirected
205,939,213560,Undirected
184,751,213580,Undirected
205,939,213580,Undirected
205,939,213600,Undirected
184,751,213640,Undirected
184,751,213660,Undirected
184,751,213680,Undirected
205,939,213680,Undirected
184,751,213700,Undirected
205,939,213700,Undirected
184,751,213720,Undirected
205,939,213720,Undirected
184,751,213740,Undirected
105,113,213740,Undirected
205,939,213740,Undirected
184,751,213760,Undirected
105,113,213760,Undirected
105,113,213780,Undirected
105,113,213800,Undirected
105,113,213820,Undirected
105,113,213860,Undirected
105,113,213880,Undirected
105,113,213900,Undirected
778,845,213920,Undirected
120,172,213920,Undirected
105,113,213960,Undirected
105,113,213980,Undirected
105,113,214020,Undirected
105,113,214040,Undirected
120,172,214060,Undirected
105,113,214080,Undirected
105,113,214120,Undirected
172,196,214260,Undirected
172,196,214280,Undirected
105,113,214480,Undirected
105,113,214560,Undirected
265,826,214620,Undirected
105,113,214620,Undirected
105,113,214700,Undirected
778,845,214720,Undirected
105,113,214720,Undirected
105,113,214740,Undirected
105,113,214760,Undirected
105,113,214780,Undirected
105,113,214820,Undirected
63,481,214840,Undirected
105,113,214860,Undirected
222,267,214880,Undirected
153,448,214880,Undirected
105,113,214880,Undirected
105,113,214900,Undirected
105,113,214920,Undirected
105,113,214940,Undirected
105,113,214960,Undirected
105,113,215060,Undirected
63,709,215600,Undirected
63,709,215620,Undirected
63,481,215680,Undirected
150,153,216300,Undirected
153,601,216480,Undirected
17,50,216700,Undirected
17,50,216720,Undirected
17,50,216740,Undirected
179,335,216920,Undirected
50,209,216960,Undirected
50,209,216980,Undirected
50,209,217000,Undirected
17,209,217000,Undirected
21,80,217080,Undirected
311,662,217140,Undirected
80,662,217280,Undirected
311,662,217340,Undirected
496,662,217340,Undirected
335,771,217380,Undirected
335,771,217400,Undirected
335,771,217420,Undirected
335,771,217440,Undirected
80,311,217440,Undirected
335,771,217460,Undirected
311,662,217480,Undirected
335,771,217500,Undirected
335,771,217520,Undirected
335,771,217540,Undirected
335,771,217560,Undirected
335,771,217580,Undirected
63,499,217760,Undirected
63,481,217760,Undirected
63,709,217900,Undirected
481,709,217900,Undirected
79,804,217920,Undirected
63,481,217940,Undirected
63,709,217960,Undirected
63,481,217980,Undirected
63,709,218000,Undirected
481,709,218020,Undirected
63,709,218040,Undirected
63,709,218060,Undirected
265,826,218080,Undirected
184,265,218080,Undirected
63,709,218080,Undirected
265,804,218100,Undirected
63,709,218320,Undirected
79,222,218500,Undirected
79,222,218520,Undirected
79,222,218540,Undirected
79,222,218560,Undirected
63,481,218560,Undirected
79,222,218580,Undirected
79,222,218600,Undirected
79,222,218760,Undirected
79,222,218820,Undirected
63,709,219160,Undirected
153,492,219160,Undirected
153,492,219340,Undirected
153,492,219360,Undirected
63,709,219520,Undirected
63,709,219600,Undirected
63,709,219620,Undirected
63,709,219760,Undirected
63,481,219940,Undirected
63,709,219980,Undirected
63,481,219980,Undirected
63,481,220000,Undirected
29,95,220040,Undirected
29,95,220060,Undirected
50,265,220200,Undirected
21,101,220220,Undirected
21,101,220300,Undirected
21,101,220320,Undirected
21,179,220340,Undirected
63,709,220340,Undirected
153,492,220340,Undirected
63,481,220340,Undirected
265,751,220360,Undirected
63,481,220360,Undirected
63,481,220380,Undirected
63,709,220400,Undirected
63,709,220420,Undirected
335,771,220460,Undirected
662,826,220480,Undirected
311,826,220480,Undirected
662,771,220500,Undirected
662,751,220500,Undirected
311,771,220500,Undirected
311,335,220500,Undirected
101,662,220500,Undirected
335,771,220520,Undirected
265,751,220560,Undirected
751,826,220580,Undirected
209,751,220600,Undirected
118,209,220660,Undirected
63,709,220680,Undirected
21,101,220720,Undirected
222,601,220780,Undirected
222,601,220800,Undirected
63,709,220820,Undirected
222,601,220820,Undirected
63,481,221180,Undirected
63,481,221220,Undirected
63,481,221260,Undirected
119,335,221560,Undirected
119,335,221580,Undirected
119,335,221600,Undirected
119,335,221620,Undirected
119,335,221760,Undirected
63,116,221880,Undirected
63,116,221900,Undirected
63,116,221920,Undirected
63,116,221940,Undirected
63,481,221940,Undirected
63,709,221960,Undirected
481,709,221960,Undirected
63,116,221960,Undirected
63,481,221980,Undirected
63,709,221980,Undirected
63,116,221980,Undirected
63,116,222000,Undirected
116,709,222000,Undirected
63,116,222020,Undirected
116,709,222020,Undirected
63,709,222040,Undirected
63,116,222040,Undirected
63,709,222060,Undirected
223,496,222060,Undirected
63,116,222060,Undirected
63,709,222080,Undirected
63,709,222120,Undirected
63,709,222140,Undirected
63,116,222140,Undirected
63,709,222160,Undirected
116,709,222160,Undirected
63,116,222160,Undirected
63,709,222200,Undirected
63,709,222220,Undirected
63,709,222240,Undirected
63,709,222260,Undirected
63,709,222280,Undirected
63,116,222280,Undirected
265,751,222320,Undirected
63,709,222320,Undirected
179,875,222480,Undirected
179,875,222500,Undirected
17,771,222520,Undirected
116,211,222600,Undirected
116,211,222620,Undirected
116,211,222660,Undirected
116,265,222680,Undirected
116,211,222680,Undirected
63,116,222760,Undirected
311,662,222760,Undirected
481,709,222780,Undirected
63,709,222800,Undirected
481,709,222800,Undirected
63,709,222820,Undirected
63,116,222820,Undirected
63,709,222840,Undirected
116,709,222840,Undirected
481,709,222880,Undirected
63,481,222880,Undirected
29,95,222900,Undirected
63,709,222900,Undirected
63,481,222900,Undirected
63,709,222920,Undirected
29,95,222920,Undirected
29,222,222940,Undirected
63,709,222940,Undirected
481,499,223000,Undirected
79,222,223000,Undirected
153,492,223020,Undirected
79,222,223020,Undirected
153,492,223040,Undirected
153,492,223100,Undirected
153,492,223120,Undirected
21,101,223120,Undirected
63,709,223140,Undirected
153,492,223180,Undirected
153,492,223200,Undirected
63,709,223240,Undirected
63,709,223260,Undirected
448,492,223260,Undirected
63,154,223320,Undirected
63,154,223340,Undirected
153,492,223380,Undirected
492,499,223420,Undirected
153,481,223420,Undirected
63,153,223420,Undirected
481,709,223620,Undirected
153,492,223680,Undirected
153,492,223740,Undirected
153,492,223860,Undirected
29,39,224000,Undirected
29,39,224020,Undirected
29,39,224040,Undirected
29,39,224080,Undirected
153,492,224100,Undirected
153,492,224120,Undirected
153,492,224180,Undirected
63,153,224380,Undirected
29,39,224400,Undirected
29,39,224420,Undirected
29,39,224440,Undirected
63,154,224440,Undirected
29,39,224460,Undirected
29,39,224480,Undirected
29,39,224500,Undirected
29,39,224520,Undirected
29,39,224540,Undirected
63,601,224540,Undirected
63,601,224560,Undirected
29,39,224580,Undirected
63,150,224580,Undirected
63,601,224580,Undirected
29,39,224600,Undirected
29,39,224620,Undirected
15,223,224660,Undirected
29,39,224720,Undirected
29,39,224740,Undirected
153,492,224740,Undirected
29,39,224760,Undirected
153,492,224760,Undirected
17,771,224840,Undirected
153,492,224900,Undirected
153,492,224920,Undirected
153,492,224940,Undirected
153,492,224960,Undirected
153,492,224980,Undirected
153,492,225000,Undirected
153,492,225020,Undirected
153,492,225040,Undirected
153,492,225060,Undirected
153,492,225080,Undirected
153,492,225100,Undirected
29,39,225180,Undirected
153,492,225180,Undirected
265,875,225260,Undirected
29,39,225300,Undirected
153,709,225300,Undirected
153,709,225320,Undirected
29,39,225340,Undirected
153,709,225340,Undirected
153,709,225360,Undirected
265,826,225380,Undirected
29,39,225460,Undirected
29,39,225520,Undirected
153,709,225760,Undirected
153,709,225780,Undirected
63,481,225820,Undirected
63,481,225840,Undirected
63,481,225860,Undirected
153,492,225880,Undirected
63,481,225880,Undirected
63,481,225900,Undirected
153,492,226020,Undirected
153,492,226040,Undirected
275,804,226060,Undirected
153,492,226060,Undirected
116,709,226060,Undirected
153,492,226080,Undirected
153,492,226100,Undirected
275,804,226140,Undirected
153,492,226400,Undirected
153,492,226580,Undirected
265,826,226840,Undirected
265,826,226860,Undirected
265,826,226880,Undirected
153,492,226980,Undirected
153,492,227020,Undirected
153,492,227380,Undirected
265,826,227520,Undirected
265,826,227600,Undirected
153,492,227620,Undirected
153,492,228200,Undirected
153,492,228680,Undirected
63,709,228860,Undirected
153,492,229000,Undirected
29,116,229000,Undirected
63,95,229200,Undirected
116,211,229220,Undirected
29,95,229240,Undirected
116,211,229240,Undirected
29,95,229260,Undirected
29,95,229280,Undirected
492,601,230100,Undirected
492,601,230140,Undirected
492,601,230160,Undirected
492,601,230180,Undirected
492,601,230200,Undirected
492,601,230220,Undirected
492,601,230240,Undirected
492,601,230260,Undirected
492,601,230280,Undirected
492,601,230300,Undirected
492,601,230320,Undirected
492,601,230360,Undirected
492,601,230380,Undirected
492,601,230400,Undirected
492,601,230460,Undirected
492,601,230480,Undirected
492,601,230500,Undirected
492,601,230520,Undirected
492,601,230540,Undirected
492,601,230560,Undirected
492,601,230580,Undirected
492,601,230600,Undirected
63,709,230600,Undirected
492,601,230620,Undirected
492,601,230680,Undirected
492,601,230700,Undirected
268,826,230840,Undirected
268,826,230860,Undirected
223,496,231100,Undirected
223,496,231120,Undirected
223,496,231160,Undirected
223,496,231180,Undirected
223,496,231200,Undirected
150,709,231200,Undirected
223,496,231220,Undirected
150,709,231220,Undirected
153,601,231220,Undirected
29,95,231240,Undirected
223,496,231240,Undirected
153,601,231240,Undirected
150,709,231240,Undirected
29,95,231260,Undirected
223,496,231260,Undirected
153,601,231260,Undirected
150,709,231260,Undirected
29,95,231280,Undirected
223,496,231280,Undirected
150,709,231280,Undirected
119,804,231300,Undirected
223,496,231300,Undirected
223,496,231320,Undirected
223,496,231340,Undirected
153,601,231340,Undirected
223,496,231380,Undirected
153,601,231380,Undirected
223,496,231400,Undirected
153,601,231400,Undirected
17,771,231400,Undirected
223,496,231420,Undirected
153,601,231420,Undirected
223,496,231440,Undirected
153,601,231440,Undirected
223,496,231460,Undirected
223,496,231480,Undirected
223,496,231500,Undirected
223,496,231520,Undirected
223,496,231540,Undirected
223,496,231580,Undirected
223,496,231600,Undirected
275,826,231700,Undirected
804,826,231720,Undirected
223,496,231740,Undirected
275,804,231760,Undirected
223,496,231780,Undirected
223,496,231800,Undirected
223,496,231820,Undirected
184,751,231820,Undirected
184,751,231840,Undirected
223,496,231860,Undirected
223,496,231880,Undirected
223,496,231900,Undirected
223,496,231920,Undirected
184,751,231920,Undirected
223,496,231940,Undirected
184,751,231940,Undirected
223,496,231960,Undirected
223,496,231980,Undirected
223,496,232000,Undirected
184,751,232020,Undirected
184,751,232040,Undirected
184,751,232060,Undirected
116,150,232080,Undirected
184,751,232080,Undirected
184,751,232100,Undirected
268,751,232120,Undirected
184,751,232120,Undirected
184,268,232120,Undirected
184,751,232140,Undirected
184,751,232160,Undirected
79,222,232160,Undirected
184,751,232180,Undirected
131,826,232180,Undirected
184,751,232200,Undirected
184,751,232220,Undirected
184,751,232240,Undirected
268,751,232260,Undirected
184,751,232260,Undirected
268,751,232280,Undirected
184,751,232280,Undirected
184,268,232280,Undirected
268,751,232300,Undirected
184,751,232300,Undirected
184,751,232320,Undirected
184,751,232340,Undirected
268,751,232360,Undirected
184,751,232380,Undirected
268,751,232400,Undirected
184,751,232400,Undirected
184,268,232400,Undirected
268,751,232420,Undirected
184,751,232420,Undirected
268,751,232440,Undirected
184,751,232440,Undirected
268,751,232460,Undirected
184,268,232600,Undirected
184,268,232620,Undirected
116,709,233140,Undirected
268,751,233280,Undirected
184,751,233560,Undirected
184,268,233780,Undirected
184,268,233800,Undirected
50,265,233900,Undirected
481,709,234280,Undirected
184,751,234320,Undirected
184,751,234360,Undirected
184,751,234440,Undirected
184,751,234460,Undirected
184,751,234520,Undirected
123,222,235300,Undirected
123,222,235320,Undirected
123,222,235380,Undirected
123,222,235440,Undirected
123,222,235460,Undirected
153,492,235540,Undirected
265,826,235780,Undirected
172,819,235960,Undirected
265,826,236000,Undirected
153,492,236420,Undirected
265,826,236820,Undirected
265,826,236880,Undirected
265,826,236980,Undirected
29,513,237240,Undirected
153,492,237500,Undirected
153,492,237600,Undirected
95,222,238620,Undirected
95,222,238640,Undirected
95,222,238660,Undirected
95,120,238680,Undirected
95,120,238700,Undirected
95,120,238720,Undirected
95,120,238740,Undirected
95,120,238760,Undirected
95,120,238780,Undirected
95,120,238800,Undirected
95,120,238820,Undirected
95,120,238840,Undirected
95,120,238860,Undirected
95,120,238880,Undirected
95,120,238900,Undirected
95,120,238920,Undirected
95,120,238940,Undirected
95,120,238980,Undirected
95,120,239000,Undirected
95,120,239020,Undirected
95,120,239040,Undirected
95,120,239060,Undirected
95,120,239080,Undirected
95,120,239100,Undirected
95,120,239120,Undirected
102,131,240300,Undirected
268,845,240420,Undirected
120,819,290480,Undirected
119,804,290600,Undirected
119,804,290620,Undirected
120,819,290660,Undirected
120,819,290680,Undirected
120,819,290720,Undirected
120,819,290740,Undirected
120,819,290800,Undirected
120,819,290860,Undirected
35,273,291160,Undirected
120,819,291480,Undirected
120,819,291500,Undirected
150,499,291600,Undirected
779,819,291640,Undirected
113,120,291700,Undirected
119,762,292240,Undirected
119,762,292260,Undirected
819,987,292740,Undirected
271,492,292780,Undirected
819,987,292780,Undirected
153,601,292860,Undirected
153,533,292880,Undirected
335,771,292960,Undirected
153,271,293020,Undirected
153,271,293040,Undirected
153,271,293080,Undirected
153,271,293100,Undirected
153,271,293120,Undirected
153,271,293140,Undirected
153,271,293180,Undirected
50,311,293360,Undirected
48,311,293360,Undirected
48,50,293380,Undirected
